148460 254.69 seed1 shuffle
132052 149.56 seed1 test1
127000 69.56 seed1 test2
132504 165.68 seed1 test3
149452 276.24 seed2 shuffle
132056 149.08 seed2 test1
127032 69.67 seed2 test2
132408 165.61 seed2 test3
116696 70.36 seed3 shuffle
132112 148.75 seed3 test1
126992 69.18 seed3 test2
132444 165.28 seed3 test3
149632 178.18 seed4 shuffle
132052 149.48 seed4 test1
126968 69.56 seed4 test2
132448 165.37 seed4 test3
138376 150.70 seed5 shuffle
132112 149.43 seed5 test1
127036 69.40 seed5 test2
132404 165.62 seed5 test3
133352 86.06 seed6 shuffle
132116 149.29 seed6 test1
127056 69.53 seed6 test2
132448 166.34 seed6 test3
124600 85.30 seed7 shuffle
131920 148.56 seed7 test1
127096 69.93 seed7 test2
132440 165.49 seed7 test3
123428 69.29 seed8 shuffle
132112 150.18 seed8 test1
127092 69.38 seed8 test2
132396 165.93 seed8 test3
